id,term,definition,source,url_source,explanation,source_explanation,url_source_explanation,key
5400,TSL,Troubles Sévères Du Langage (ou Aussi Troubles Spécifiques Du Langage),L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,tsltroublessévèresdulangageouaussitroublesspécifiquesdulangage
5401,TSO,Traitement de Substitution des Opiacés,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,tsotraitementdesubstitutiondesopiacés
5402,TSS,Tarif Spécial De Solidarité (réduction Tarif De Fourniture De Gaz Naturel),L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,tsstarifspécialdesolidaritéréductiontarifdefournituredegaznaturel
5403,TSVP,Tourner s'il vous plaît.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,tsvptournersilvousplaît
5404,TTC,Toutes taxes comprises.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,ttctoutestaxescomprises
5405,TUC,Travaux d'utilité collective,Sénat,https://www.senat.fr/histoire/sigles.html,,,,tuctravauxdutilitécollective
5407,TV,Télévision.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,tvtélévision
5408,TVA,Taxe sur la valeur ajoutée,Sénat,https://www.senat.fr/histoire/sigles.html,,,,tvataxesurlavaleurajoutée
5410,TVHD,Télévision haute définition,Sénat,https://www.senat.fr/histoire/sigles.html,,,,tvhdtélévisionhautedéfinition
5412,TVR,Tramway sur voie routière.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,tvrtramwaysurvoieroutière
5291,TaRTAM,Tarif réglementé transitoire d'ajustement du marché,Sénat,https://www.senat.fr/histoire/sigles.html,,,,tartamtarifréglementétransitoiredajustementdumarché
5413,U,Zone urbaine dans le POS et les PLU.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,uzoneurbainedansleposetlesplu
5414,UA,Zone de centre ville du POS,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,uazonedecentrevilledupos
5415,UAE,Unité d'activité économique.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,uaeunitédactivitééconomique
